Date,Close,High,Low,Open,Volume,Date_num,H-L,O-C,SMA_7,SMA_17,SMA_30,SD_7,SD_30
2024-05-09,63049.9609375,63404.9140625,60648.07421875,61191.19921875,25453338161,739015,2756.83984375,-1858.76171875,62935.30133928572,62815.06479779412,63929.683854166666,965.7071919015731,2627.084313531167
2024-05-10,60792.77734375,63446.7421875,60208.78125,63055.19140625,27804954694,739016,3237.9609375,2262.4140625,62635.72154017857,62484.800321691175,63603.180338541664,1261.9857275604613,2366.840032446305
2024-05-11,60793.7109375,61451.15234375,60492.625,60793.35546875,13842272968,739017,958.52734375,-0.35546875,62193.18415178572,62279.90693933824,63294.28372395833,1291.0502619562985,2082.6726482722966
2024-05-12,61448.39453125,61818.15625,60632.6015625,60793.50390625,13800459405,739018,1185.5546875,-654.890625,61824.22154017857,62101.47679227941,63102.70130208333,1018.5436589786073,1972.850852443421
2024-05-13,62901.44921875,63422.66015625,60769.83984375,61451.21875,27889181179,739019,2652.8203125,-1450.23046875,61787.00725446428,62051.24908088235,63072.033854166664,964.8658731924785,1968.4382875442932
2024-05-14,61552.7890625,63092.125,61123.765625,62900.7734375,28186271527,739020,1968.359375,1347.984375,61675.2890625,61941.463694852944,62932.502604166664,935.6988059970093,1920.672611251787
2024-05-15,66267.4921875,66454.453125,61330.41015625,61553.98828125,39815167074,739021,5124.04296875,-4713.50390625,62400.939174107145,62127.00850183824,63027.21197916667,1932.9614043889787,2013.6587624822298
2024-05-16,65231.58203125,66712.4296875,64613.0546875,66256.109375,31573077994,739022,2099.375,1024.52734375,62712.599330357145,62208.800321691175,63074.5359375,2210.9358542452983,2049.105857900762
2024-05-17,67051.875,67459.4609375,65119.31640625,65231.296875,28031279310,739023,2340.14453125,-1820.578125,63606.756138392855,62586.154411764706,63267.04205729167,2545.466761549578,2143.4859825514272
2024-05-18,66940.8046875,67387.328125,66663.5,67066.2109375,16712277406,739024,723.828125,125.40625,64484.912388392855,63097.14223345588,63381.31041666667,2472.5477357899745,2245.9609138998417
2024-05-19,66278.3671875,67694.296875,65937.1796875,66937.9296875,19249094538,739025,1757.1171875,659.5625,65174.908482142855,63518.020680147056,63462.4703125,2134.804088924083,2306.4192148002467
2024-05-20,71448.1953125,71483.5625,66086.171875,66278.7421875,43850655717,739026,5397.390625,-5169.453125,66395.87220982143,64021.453584558825,63677.595442708334,2918.1779318609115,2718.417528584314
2024-05-21,70136.53125,71946.4609375,69191.125,71443.0625,46932005990,739027,2755.3359375,1306.53125,67622.12109375,64388.80997242647,63851.25833333333,2276.907480833323,2956.914666952001
2024-05-22,69122.3359375,70623.6953125,68977.6953125,70135.3203125,32802561717,739028,1646.0,1012.984375,68029.95591517857,64688.292509191175,63927.41354166667,2249.3394019289512,3063.964888007132
2024-05-23,67929.5625,70041.2734375,66356.953125,69121.3046875,41895680979,739029,3684.3203125,1191.7421875,68415.38169642857,64968.740349264706,63978.156510416666,1892.8143809335477,3118.569466082471
2024-05-24,68526.1015625,69220.296875,66622.671875,67928.1328125,29197308153,739030,2597.625,-597.96875,68625.98549107143,65332.93359375,64119.796614583334,1795.3230142662642,3227.2091594868402
2024-05-25,69265.9453125,69579.3203125,68515.8203125,68526.921875,15473071741,739031,1063.5,-739.0234375,68958.1484375,65808.11029411765,64279.271223958334,1639.9439535535487,3361.1389313205227
2024-05-26,68518.09375,69506.2265625,68183.890625,69264.2890625,15628433737,739032,1322.3359375,746.1953125,69278.109375,66129.76516544117,64438.03033854167,1185.4881269079995,3446.9244197534017
2024-05-27,69394.5546875,70597.8828125,68232.5,68512.1796875,25870990717,739033,2365.3828125,-882.375,68984.73214285714,66635.7520680147,64637.21080729167,722.7364349618778,3556.907618107527
2024-05-28,68296.21875,69514.640625,67227.15625,69392.1953125,32722265965,739034,2287.484375,1095.9765625,68721.83035714286,67077.0760569853,64809.97708333333,547.3688264377029,3605.869447869163
2024-05-29,67578.09375,68852.4609375,67101.4921875,68296.3515625,26707072906,739035,1750.96875,718.2578125,68501.22433035714,67437.6465992647,64934.54283854167,658.8797773717824,3635.670164982723
2024-05-30,68364.9921875,69500.5390625,67118.078125,67576.0859375,29509712534,739036,2382.4609375,-788.90625,68563.42857142857,67759.03147977941,65192.14739583333,615.008365984588,3594.209383482034
2024-05-31,67491.4140625,68999.5625,66633.421875,68362.515625,27387283769,739037,2366.140625,871.1015625,68415.61607142857,68108.36236213235,65500.060807291666,737.5967503826506,3367.883158649586
2024-06-01,67706.9375,67839.765625,67386.1953125,67489.609375,11641495604,739038,453.5703125,-217.328125,68192.90066964286,68193.03561580883,65786.17760416666,670.3536684819484,3166.0348180926244
2024-06-02,67751.6015625,68409.1640625,67315.5234375,67710.2734375,17110588415,739039,1093.640625,-41.328125,68083.40178571429,68341.27205882352,65948.23645833334,670.982931783037,3136.9638392350244
2024-06-03,68804.78125,70230.8203125,67589.8359375,67753.8984375,32401285324,739040,2640.984375,-1050.8828125,67999.1484375,68444.38419117648,66112.01341145833,492.084779501088,3154.092064721128
2024-06-04,70567.765625,71047.40625,68564.640625,68804.5703125,33149696545,739041,2482.765625,-1763.1953125,68323.65513392857,68657.73483455883,66329.901171875,1097.3677516723392,3230.245091942532
